iter	Passed	Remaining
406	5462	7958
407	5474	7943
408	5487	7929
409	5501	7917
410	5514	7902
411	5526	7887
412	5539	7873
413	5553	7860
414	5567	7848
415	5580	7834
416	5592	7819
417	5605	7805
418	5618	7790
419	5631	7776
420	5643	7761
421	5655	7746
422	5667	7731
423	5680	7717
424	5693	7702
425	5705	7688
426	5718	7673
427	5731	7659
428	5743	7644
429	5755	7629
430	5768	7615
431	5781	7601
432	5794	7587
433	5806	7572
434	5819	7559
435	5832	7544
436	5844	7529
437	5857	7515
438	5871	7502
439	5884	7488
440	5897	7475
441	5909	7460
442	5922	7446
443	5935	7432
444	5947	7417
445	5959	7402
446	5972	7389
447	5986	7375
448	5999	7362
449	6012	7348
450	6024	7333
451	6037	7319
452	6049	7305
453	6062	7290
454	6074	7276
455	6087	7262
456	6100	7248
457	6112	7234
458	6125	7219
459	6138	7205
460	6150	7191
461	6163	7177
462	6177	7164
463	6190	7150
464	6204	7138
465	6216	7123
466	6228	7108
467	6240	7094
468	6252	7079
469	6264	7064
470	6277	7050
471	6290	7036
472	6302	7021
473	6314	7006
474	6326	6992
475	6338	6977
476	6349	6961
477	6361	6947
478	6375	6934
479	6388	6920
480	6399	6904
481	6411	6889
482	6422	6874
483	6434	6859
484	6445	6843
485	6455	6827
486	6467	6812
487	6477	6796
488	6489	6781
489	6500	6765
490	6512	6750
491	6523	6735
492	6534	6719
493	6544	6703
494	6555	6688
495	6566	6672
496	6578	6657
497	6592	6645
498	6605	6631
499	6618	6618
500	6630	6604
501	6642	6589
502	6655	6576
503	6668	6562
504	6681	6549
505	6695	6536
506	6708	6523
507	6721	6510
508	6734	6496
509	6747	6483
510	6760	6469
511	6773	6456
512	6786	6442
513	6800	6429
514	6814	6417
515	6827	6403
516	6840	6390
517	6854	6377
518	6866	6364
519	6879	6350
520	6893	6337
521	6906	6324
522	6921	6312
523	6934	6299
524	6947	6285
525	6960	6272
526	6973	6258
527	6986	6245
528	6999	6231
529	7012	6218
530	7024	6204
531	7036	6190
532	7047	6175
533	7059	6160
534	7071	6146
535	7082	6131
536	7093	6115
537	7104	6100
538	7115	6085
539	7126	6070
540	7137	6055
541	7148	6040
542	7160	6026
543	7171	6011
544	7182	5996
545	7193	5981
546	7204	5966
547	7215	5951
548	7225	5935
549	7236	5921
550	7249	5907
551	7260	5892
552	7272	5878
553	7283	5863
554	7294	5848
555	7305	5833
556	7316	5819
557	7327	5804
558	7337	5788
559	7348	5774
560	7360	5759
561	7371	5744
562	7382	5730
563	7393	5715
564	7404	5701
565	7415	5686
566	7426	5671
567	7437	5656
568	7448	5641
569	7462	5629
570	7474	5616
571	7487	5602
572	7499	5588
573	7512	5575
574	7524	5561
575	7537	5548
576	7548	5534
577	7561	5520
578	7574	5507
579	7586	5493
580	7599	5480
581	7611	5466
582	7623	5452
583	7637	5440
584	7650	5427
585	7663	5414
586	7676	5400
587	7688	5387
588	7702	5374
589	7715	5361
590	7727	5347
591	7739	5334
592	7751	5320
593	7764	5306
594	7776	5293
595	7788	5279
596	7801	5266
597	7813	5252
598	7825	5238
599	7838	5225
600	7851	5212
601	7864	5199
602	7877	5186
603	7890	5173
604	7903	5160
605	7915	5146
606	7928	5133
