iter	Accuracy	MultiClass
876	0.9046322722	0.2258678483
877	0.9046322722	0.2258144105
878	0.9047639956	0.2257848933
879	0.9047200878	0.2257411844
880	0.9045883644	0.2256990003
881	0.9045005488	0.2256358948
882	0.9045883644	0.2256079983
883	0.9047200878	0.2255781939
884	0.9047639956	0.225519997
885	0.9048079034	0.2254757029
886	0.9047639956	0.2254404093
887	0.9048518112	0.2253938486
888	0.9048079034	0.2253770303
889	0.9048518112	0.2253336224
890	0.9053347969	0.2252330894
891	0.9051591658	0.2252073435
892	0.905115258	0.225178302
893	0.9051591658	0.2251413485
894	0.905115258	0.2251159485
895	0.9053347969	0.2249732614
896	0.9053347969	0.2249254906
897	0.9053347969	0.2248842544
898	0.9053787047	0.2248648481
899	0.9053347969	0.2248375738
900	0.9054665203	0.2247996632
901	0.9054665203	0.2247714686
902	0.9054665203	0.2247283811
903	0.9056860593	0.2246905497
904	0.9057299671	0.2246539945
905	0.9057738749	0.2246200632
906	0.9057299671	0.2245910121
907	0.9057738749	0.2245245127
908	0.9058177827	0.2244987775
909	0.9058616905	0.2244338187
910	0.905949506	0.2243846576
911	0.905949506	0.2243365837
912	0.905949506	0.2243141345
913	0.9059055982	0.224281661
914	0.905949506	0.22423959
915	0.9060373216	0.2242087019
916	0.9060373216	0.2241238685
917	0.9060373216	0.2240769478
918	0.9059934138	0.2240169909
919	0.9060373216	0.2239722155
920	0.9060812294	0.223944534
921	0.9060812294	0.2239135745
922	0.9060812294	0.2238913742
923	0.9060812294	0.2238346418
924	0.9061251372	0.2237272101
925	0.9060812294	0.2236813502
926	0.905949506	0.2236276368
927	0.9060812294	0.2235696279
928	0.9061251372	0.22354933
929	0.9061251372	0.2235319754
930	0.9060812294	0.2234677207
931	0.9061251372	0.2234503478
932	0.9063007684	0.2233743116
933	0.906388584	0.2233371769
934	0.9061251372	0.2232548261
935	0.9063446762	0.2232131209
936	0.9064763996	0.2231776472
937	0.9064763996	0.2231374402
938	0.9065203074	0.2230845038
939	0.9065203074	0.2230539866
940	0.9064324918	0.2230353305
941	0.9065642151	0.2230155032
942	0.9065642151	0.2229543857
943	0.9065642151	0.2229437266
944	0.9066081229	0.2229091833
945	0.9066081229	0.2228566431
946	0.9064763996	0.2228042611
947	0.9064763996	0.2227807972
948	0.9064324918	0.2227654598
949	0.9064324918	0.2227396402
950	0.9065642151	0.2226601042
951	0.9066081229	0.2226322641
952	0.9067398463	0.2225727069
953	0.9067837541	0.2225566236
954	0.9068715697	0.2225324758
955	0.9068276619	0.222504481
956	0.9066959385	0.222457322
957	0.9066959385	0.222440126
958	0.9068276619	0.2224015897
959	0.9069154775	0.2223639485
960	0.9069154775	0.2223431466
961	0.9068715697	0.2222718651
962	0.9068715697	0.2222197436
963	0.9068715697	0.2221865902
964	0.9069154775	0.2221430974
965	0.9069154775	0.222074092
966	0.9068715697	0.2220240887
967	0.9069593853	0.2219863689
968	0.9069593853	0.2219518641
969	0.9069154775	0.2219128404
970	0.9069593853	0.2218816513
971	0.9070032931	0.2218476157
972	0.9073545554	0.2217730256
973	0.9074862788	0.2216996537
974	0.9075740944	0.2216657032
975	0.9074862788	0.2216402767
976	0.907442371	0.2216216355
977	0.9077058178	0.2215543463
978	0.9077058178	0.2215282533
979	0.9077497256	0.221495456
980	0.9078375412	0.2214769136
981	0.9076180022	0.2214400872
982	0.9077497256	0.2213966924
983	0.9077058178	0.2213610999
984	0.9078375412	0.2213367444
985	0.9078375412	0.2213137708
986	0.9079253568	0.2212589111
987	0.9079692645	0.2212409822
988	0.9079692645	0.2211865961
989	0.9077936334	0.2211349238
990	0.9077936334	0.2211226125
991	0.9077497256	0.2210901539
992	0.9075740944	0.2210405874
993	0.90766191	0.221001286
994	0.90766191	0.2209629508
995	0.9077497256	0.2209112378
996	0.9078375412	0.2208647511
997	0.907881449	0.2208354935
998	0.9080570801	0.220786389
999	0.9077936334	0.220758437
