iter	Accuracy	MultiClass
231	0.8821514819	0.2658838567
232	0.8821953897	0.2657803943
233	0.8823271131	0.2656387174
234	0.8825027442	0.265562535
235	0.882546652	0.2654137133
236	0.8822832053	0.2652991591
237	0.8822392975	0.2651957494
238	0.8822832053	0.2651400526
239	0.8825027442	0.2650406278
240	0.8823710209	0.2650187561
241	0.88298573	0.2645890473
242	0.8831613611	0.2645128185
243	0.8828979144	0.2643876927
244	0.8831174533	0.2642049459
245	0.8832052689	0.2641505351
246	0.8831613611	0.2640737598
247	0.8832930845	0.264028518
248	0.8832930845	0.2639731379
249	0.8834248079	0.2638796986
250	0.8834248079	0.263778722
251	0.8833369923	0.2637005699
252	0.8835565313	0.2635861994
253	0.8833809001	0.2634787968
254	0.8835126235	0.2633764477
255	0.8835126235	0.2632900864
256	0.8837321625	0.2632091618
257	0.8836882547	0.2631101616
258	0.8840834248	0.2629630582
259	0.8842151482	0.2628928917
260	0.8841273326	0.2627517703
261	0.884039517	0.2627061707
262	0.8840834248	0.2626168511
263	0.884259056	0.2625431766
264	0.8843907794	0.262423727
265	0.8844346872	0.2623535636
266	0.8845225027	0.262254183
267	0.8845225027	0.2622248341
268	0.8846103183	0.2621642329
269	0.8846103183	0.2620220561
270	0.884478595	0.2619857324
271	0.8845225027	0.2619234718
272	0.8844346872	0.2618237386
273	0.884478595	0.2617411119
274	0.884478595	0.2615998534
275	0.8845225027	0.2614665533
276	0.8845225027	0.261379562
277	0.8845664105	0.2613065926
278	0.8846103183	0.2612640098
279	0.8849615807	0.2611963209
280	0.8849615807	0.2610954637
281	0.8850054885	0.2610391098
282	0.8850054885	0.2608541526
283	0.8849176729	0.2607592513
284	0.8852689352	0.260638918
285	0.8852689352	0.2605620777
286	0.8852689352	0.2604729643
287	0.8853567508	0.2603909145
288	0.8854006586	0.2603224303
289	0.8854884742	0.2602466515
290	0.8854445664	0.260202308
291	0.885532382	0.2600963919
292	0.8854884742	0.25999448
293	0.8856641054	0.2598840887
294	0.8857958288	0.259785452
295	0.8857958288	0.2596641083
296	0.8857080132	0.2595886045
297	0.8857958288	0.2595505396
298	0.8860592755	0.2594689464
299	0.8860592755	0.2594048275
300	0.8860592755	0.2593146483
301	0.8861909989	0.2591588198
302	0.8861470911	0.2590766196
303	0.8861909989	0.2590238338
304	0.8863227223	0.2588892721
305	0.8866739846	0.2587921051
306	0.8866739846	0.2587293528
307	0.8864983535	0.25866346
308	0.8865422613	0.2585993234
309	0.8865422613	0.2585449373
310	0.8865422613	0.2584880678
311	0.8866739846	0.258426836
312	0.8864544457	0.2583936864
313	0.8864983535	0.2583015061
314	0.8866300768	0.2582512514
315	0.8864544457	0.2581757209
316	0.8864983535	0.2581302415
317	0.8864544457	0.2580476266
318	0.8864983535	0.2579732218
319	0.8864544457	0.2579320688
320	0.8864544457	0.2578644429
321	0.8864544457	0.2578101992
322	0.8867178924	0.2577215809
323	0.886805708	0.2576769412
