2023-08-02/16:38:01		Data loaded from CSV file: artifacts/data/raw.csv
2023-08-02/16:38:02		Data saved to CSV file: artifacts/data/CleanData.csv
2023-08-02/16:38:02		Data saved to CSV file: artifacts/data/FinalFeatureData.csv
2023-08-02/16:38:02		Data saved to CSV file: artifacts/data/FinalTargetData.csv
2023-08-02/16:38:02		Data saved to CSV file: artifacts/data/X_train.csv
2023-08-02/16:38:02		Data saved to CSV file: artifacts/data/X_test.csv
2023-08-02/16:38:02		Data saved to CSV file: artifacts/data/y_train.csv
2023-08-02/16:38:02		Data saved to CSV file: artifacts/data/y_test.csv
2023-08-02/16:38:02		Get a list of all files in the directory
2023-08-02/16:38:02		Iterate over each file and delete it
2023-08-02/16:38:02		Deleted artifacts/preprocessor\Preprocessor.pkl
2023-08-02/16:38:02		Model saved to file: artifacts/preprocessor/Preprocessor.pkl
