2023-08-15/15:18:48		Data loaded from CSV file: artifacts/data/raw.csv
2023-08-15/15:18:49		Data saved to CSV file: artifacts/data/CleanData.csv
2023-08-15/15:18:49		Data saved to CSV file: artifacts/data/FinalFeatureData.csv
2023-08-15/15:18:49		Data saved to CSV file: artifacts/data/FinalTargetData.csv
2023-08-15/15:18:49		Data saved to CSV file: artifacts/data/X_train.csv
2023-08-15/15:18:49		Data saved to CSV file: artifacts/data/X_test.csv
2023-08-15/15:18:50		Data saved to CSV file: artifacts/data/y_train.csv
2023-08-15/15:18:50		Data saved to CSV file: artifacts/data/y_test.csv
2023-08-15/15:18:50		Get a list of all files in the directory
2023-08-15/15:18:50		Iterate over each file and delete it
2023-08-15/15:18:50		Deleted artifacts/preprocessor\Preprocessor.pkl
2023-08-15/15:18:50		Model saved to file: artifacts/preprocessor/Preprocessor.pkl
